km,all_waste,plastic_waste,,,,
1,1948510,174392,,,,
2,19867896,2374214,,,,
3,1819220,235589,,,,
4,30578,3654,,,,
5,367637,43933,,,,
6,20068079,3000178,,,,
7,289611,34609,,,,  
8,38436177,1902591,,,,
9,1108721,132492,,,,
10,817931,97743,,,,
11,30475873,2422832,,,,
12,1314724,157110,,,,
13,6314783,375730,,,,
14,580971,34568,,,,
15,1747126,138896,,,,
16,140629,16805,,,,
17,702698,83972,,,,
18,76937674,12271559,,,,
19,62315,7447,,,,
20,313088,9236,,,,
21,1283450,153372,,,,
22,8354950,1416164,,,,
23,834752,91405,,,,
24,1529777,91022,,,,
25,27603191,1090326,,,,
26,261123,33815,,,,
27,108914,13015,,,,
28,322039,38484,,,,
29,6071274,664805,,,,
30,289181626,31665388,,,,
31,2944,352,,,,
32,1252,150,,,,
33,8998276,1075294,,,,
34,2093067,187329,,,,
35,449338,58189,,,,
36,538028,48154,,,,
37,25121,3002,,,,
38,3371845,638965,,,,
39,4922161,637420,,,,
40,3365842,402218,,,,
41,9180112,1005222,,,,
42,301946,36083,,,,
43,1739951,207924,,,,
44,12580743,245324,,,,
45,32970,3940,,,,
46,491178,63608,,,,
47,86971,10393,,,,
48,9879103,1180553,,,,
49,528312,68416,,,,
50,7232054,936551,,,,
51,29798792,3858944,,,,
52,7244120,938114,,,,
53,421920,50419,,,,
54,633111,56663,,,,
55,1290691,154238,,,,
56,5464,653,,,,
57,106163,12687,,,,
58,1881905,168430,,,,
59,6235946,682836,,,,
60,33191578,3302562,,,,
61,201157,24038,,,,
62,568298,67912,,,,
63,388048,46372,,,,
64,1899981,75049,,,,
65,18646144,4279290,,,,
66,6104885,302192,,,,
67,70314,8403,,,,
68,19589404,1949146,,,,
69,119843,14321,,,,
70,260488,31128,,,,
71,559399,66848,,,,
72,400699,47884,,,,
73,4784884,667491,,,,
74,118207,14126,,,,
75,1197898,59296,,,,
76,724864,64875,,,,
77,2735543,299542,,,,
78,9155693,819435,,,,
79,4820009,624191,,,,
80,15070417,3006548,,,,
81,456624,81964,,,,
82,63747767,1880559,,,,
83,97356208,10660505,,,,
84,10919634,1304896,,,,
85,504990,65396,,,,
86,13423482,1604106,,,,
87,170566,20383,,,,
88,14156957,1974896,,,,
89,75424246,4487743,,,,
90,507700,96209,,,,
91,197041404,19605620,,,,
92,189160,22605,,,,
93,66470,7943,,,,
94,818984,73299,,,,
95,74645,9666,,,,
96,10396490,930486,,,,
97,51651728,4622830,,,,
98,13119415,1567770,,,,
99,1475040,176267,,,,
100,4591228,365003,,,,
101,1288963,179810,,,,
102,4860154,580788,,,,
103,488283,58350,,,,
104,379129,94593,,,,
105,5649930,110174,,,,
106,34793183,4505717,,,,
107,973566,126077,,,,
108,720378,86085,,,,
109,69703,11118,,,,
110,844740,100946,,,,
111,502741,44995,,,,
112,2888690,287425,,,,
113,28083236,1951785,,,,
114,122367,15847,,,,
115,71505,8545,,,,
116,312403,37332,,,,
117,6208,742,,,,
118,25263009,1250519,,,,
119,1339318,146655,,,,
120,186101,22239,,,,
121,18347,2192,,,,
122,19020152,3794520,,,,
123,477047,57007,,,,
124,541598,64721,,,,
125,14212359,1272006,,,,
126,3830918,496104,,,,
127,21706918,2811046,,,,
128,3778,451,,,,
129,1703,221,,,,
130,223138,26665,,,,
131,11568701,1151086,,,,
132,1818289,217286,,,,
133,11519742,1491807,,,,
134,28135,3362,,,,
135,2405754,191257,,,,
136,3931933,469866,,,,
137,2170536,281084,,,,
138,16518730,1973988,,,,
139,41723431,6237653,,,,
140,2880181,315380,,,,
141,18802572,2246907,,,,
142,8924681,1066499,,,,
143,868499,103786,,,,
144,971311,116072,,,,
145,910177,35952,,,,
146,10055659,1201651,,,,
147,8207,981,,,,
148,196756,23512,,,,
149,710037,84849,,,,
150,78601,9393,,,,
151,12365,1478,,,,
152,204253,26451,,,,
153,132740,17190,,,,
154,129355,16751,,,,
155,4671512,558246,,,,
156,6418800,831235,,,,
157,272256,32535,,,,
158,1299158,116275,,,,
159,6693816,866849,,,,
160,407279,48670,,,,
161,488756,63294,,,,
162,3582701,320652,,,,
163,25798402,3082909,,,,
164,48503269,6281173,,,,
165,74297687,5163689,,,,
166,594498,76987,,,,
167,547078,65376,,,,
168,1759,228,,,,
169,9985597,294575,,,,
170,4962136,642597,,,,
171,46644291,5573993,,,,
172,1739061,155646,,,,
173,31252130,3734630,,,,
174,701833,62814,,,,
175,1035654,113404,,,,
176,1089,141,,,,
177,381655,22708,,,,
178,19561435,4880578,,,,
179,8729968,1043231,,,,
180,60255866,7200576,,,,
181,47397,5664,,,,
182,13876,1658,,,,
183,5382111,696983,,,,
184,3350381,400371,,,,
185,77433411,9253293,,,,
186,291346588,37729383,,,,
187,5110554,610711,,,,
188,281860,33682,,,,
189,826071,73933,,,,
190,33799284,4039014,,,,
191,44128014,5714578,,,,
192,4778647,618835,,,,
